city,Zipcode,new_stations
Des Moines,50309,2
Des Moines,50310,3
Des Moines,50311,2
Des Moines,50312,3
Des Moines,50313,2
Des Moines,50314,2
Des Moines,50315,3
Des Moines,50317,3
Des Moines,50319,0
Des Moines,50320,2
Chicago,60018,15
Chicago,60076,10
Chicago,60106,10
Chicago,60131,10
Chicago,60176,10
Chicago,60406,10
Chicago,60459,11
Chicago,60601,12
Chicago,60602,12
Chicago,60603,13
Chicago,60604,11
Chicago,60605,9
Chicago,60606,10
Chicago,60607,0
Chicago,60608,11
Chicago,60609,11
Chicago,60610,8
Chicago,60611,11
Chicago,60612,12
Chicago,60613,9
Chicago,60614,9
Chicago,60615,13
Chicago,60616,11
Chicago,60617,12
Chicago,60618,4
Chicago,60619,15
Chicago,60620,22
Chicago,60621,12
Chicago,60622,9
Chicago,60623,14
Chicago,60624,10
Chicago,60625,8
Chicago,60626,12
Chicago,60628,16
Chicago,60629,15
Chicago,60630,17
Chicago,60631,15
Chicago,60632,14
Chicago,60633,9
Chicago,60634,16
Chicago,60636,16
Chicago,60637,13
Chicago,60638,18
Chicago,60639,14
Chicago,60640,16
Chicago,60641,16
Chicago,60642,10
Chicago,60643,12
Chicago,60644,13
Chicago,60645,14
Chicago,60646,15
Chicago,60647,6
Chicago,60649,12
Chicago,60651,14
Chicago,60652,18
Chicago,60653,14
Chicago,60654,11
Chicago,60655,12
Chicago,60656,15
Chicago,60657,10
Chicago,60659,14
Chicago,60660,16
Chicago,60661,12
Chicago,60706,11
Chicago,60707,12
Chicago,60804,11
Chicago,60805,13
Chicago,60827,9
Denver,80011,1
Denver,80012,1
Denver,80014,1
Denver,80111,1
Denver,80123,1
Denver,80202,1
Denver,80203,1
Denver,80204,1
Denver,80205,1
Denver,80206,1
Denver,80207,1
Denver,80209,1
Denver,80210,1
Denver,80211,1
Denver,80212,1
Denver,80214,1
Denver,80216,1
Denver,80218,1
Denver,80219,1
Denver,80220,1
Denver,80221,1
Denver,80222,1
Denver,80223,1
Denver,80224,1
Denver,80226,1
Denver,80227,1
Denver,80230,1
Denver,80231,1
Denver,80232,1
Denver,80236,1
Denver,80237,1
Denver,80238,1
Denver,80239,1
Denver,80246,1
Denver,80247,1
Denver,80249,1
Denver,80293,0
