,City,Lat,Lon,Zipcode
0,Chicago,41.89257,-87.614492,60611
1,Chicago,41.877761,-87.654822,60607
2,Chicago,41.899624,-87.668393,60622
3,Chicago,41.879248,-87.640007,60606
4,Chicago,41.878391,-87.641006,60606
5,Chicago,41.8807,-87.63947,60606
6,Chicago,41.926752,-87.634457,60614
7,Chicago,41.856802,-87.633879,60605
8,Chicago,41.884576,-87.63189,60601
9,Chicago,41.885613,-87.641868,60661
10,Chicago,41.882157,-87.641082,60661
11,Chicago,41.867132,-87.641095,60607
12,Chicago,41.875866,-87.640745,60607
13,Chicago,41.883459,-87.641163,60661
14,Chicago,41.909404,-87.677711,60622
15,Chicago,41.910578,-87.649422,60642
16,Chicago,41.879356,-87.629791,60604
17,Chicago,41.881311,-87.629541,60603
18,Chicago,41.884181,-87.629641,60602
19,Chicago,41.888611,-87.644442,60661
20,Chicago,41.89186,-87.62062,60611
21,Chicago,41.896802,-87.635638,60610
22,Chicago,41.877716,-87.635343,60606
23,Chicago,41.891599,-87.648389,60642
24,Chicago,41.880422,-87.642746,60661
25,Chicago,41.893821,-87.641806,60654
26,Chicago,41.87594,-87.630611,60602
27,Chicago,41.880937,-87.616783,60601
28,Chicago,41.897764,-87.642884,60610
29,Chicago,41.914723,-87.643374,60614
30,Chicago,41.91021,-87.6435,60610
31,Chicago,41.869388,-87.655475,60607
32,Chicago,41.851511,-87.61886,60616
33,Chicago,41.876166,-87.624432,60602
34,Chicago,41.886049,-87.62435,60601
35,Chicago,41.90096,-87.623777,60611
36,Chicago,41.897639,-87.623514,60611
37,Chicago,41.883779,-87.624686,60601
38,Chicago,41.881222,-87.62409,60601
39,Chicago,41.858086,-87.651073,60608
40,Chicago,41.894551,-87.653453,60642
41,Chicago,41.885483,-87.652305,60607
42,Chicago,41.8653,-87.617999,60605
43,Chicago,41.896372,-87.661,60642
44,Chicago,41.90068,-87.6626,60642
45,Chicago,41.896361,-87.654083,60642
46,Chicago,41.902924,-87.637715,60610
47,Chicago,41.857611,-87.619407,60605
48,Chicago,41.858182,-87.656501,60608
49,Chicago,41.87464,-87.65703,60607
50,Chicago,41.925597,-87.658368,60614
51,Chicago,41.918289,-87.636335,60610
52,Chicago,41.925602,-87.653708,60614
53,Chicago,41.910613,-87.653211,60642
54,Chicago,41.913688,-87.652855,60614
55,Chicago,41.873958,-87.62774,60602
56,Chicago,41.884724,-87.628054,60601
57,Chicago,41.877181,-87.627844,60604
58,Chicago,41.886844,-87.622411,60601
59,Chicago,41.867173,-87.625955,60605
60,Chicago,41.894728,-87.634423,60654
61,Chicago,41.89993,-87.63443,60610
62,Chicago,41.932456,-87.652698,60657
63,Chicago,41.907647,-87.67259,60622
64,Chicago,41.88268,-87.632473,60602
65,Chicago,41.911338,-87.638682,60610
66,Chicago,41.865234,-87.666507,60608
67,Chicago,41.854863,-87.66366,60608
68,Chicago,41.956061,-87.668869,60613
69,Chicago,41.907066,-87.667252,60622
70,Chicago,41.903455,-87.66788,60622
71,Chicago,41.891082,-87.666687,60642
72,Chicago,41.88541,-87.66732,60612
73,Chicago,41.936083,-87.669807,60657
74,Chicago,41.928829,-87.668553,60614
75,Chicago,41.918495,-87.652239,60614
76,Chicago,41.802619,-87.590371,60615
77,Chicago,41.857462,-87.661616,60608
78,Chicago,41.973767,-87.659668,60640
79,Chicago,41.9376,-87.644044,60657
80,Chicago,41.978353,-87.659753,60640
81,Chicago,41.945514,-87.646477,60657
82,Chicago,41.931241,-87.644363,60657
83,Chicago,41.952833,-87.649993,60613
84,Chicago,41.965311,-87.65874,60640
85,Chicago,41.903042,-87.697522,60647
86,Chicago,41.922647,-87.697093,60647
87,Chicago,41.910461,-87.696903,60647
88,Chicago,41.83483,-87.617903,60616
89,Chicago,41.910535,-87.689556,60647
90,Chicago,41.874245,-87.639577,60607
91,Chicago,41.882091,-87.639833,60661
92,Chicago,41.890435,-87.622081,60611
93,Chicago,41.907781,-87.685854,60622
94,Chicago,41.957913,-87.649733,60613
95,Chicago,41.961004,-87.649603,60613
96,Chicago,41.967968,-87.650001,60640
97,Chicago,41.89674,-87.630749,60610
98,Chicago,41.90293,-87.631323,60610
99,Chicago,41.967119,-87.667479,60640
100,Chicago,41.915762,-87.634605,60610
101,Chicago,41.961554,-87.666266,60613
102,Chicago,41.911967,-87.631948,60610
103,Chicago,41.907993,-87.631501,60610
104,Chicago,41.936497,-87.647539,60657
105,Chicago,41.973331,-87.667804,60640
106,Chicago,41.918216,-87.656936,60614
107,Chicago,41.85795,-87.640826,60607
108,Chicago,41.904621,-87.640575,60610
109,Chicago,41.874998,-87.673263,60612
110,Chicago,41.816498,-87.606601,60653
111,Chicago,41.822985,-87.6071,60653
112,Chicago,41.920089,-87.677965,60647
