,City,Lat,Lon,Zipcode
0,Chicago,41.951227,-87.643847,60657
1,Chicago,41.914795,-87.654541,60614
2,Chicago,43.588941,-79.648925,14174
3,Chicago,41.963227,-87.657,60640
4,Chicago,41.869438,-87.624677,60605
5,Chicago,41.911327,-87.635852,60610
6,Chicago,41.891215,-87.615521,60611
7,Chicago,41.892725,-87.619625,60611
8,Chicago,41.860641,-87.610433,60605
9,Chicago,41.914211,-87.700279,60647
10,Chicago,41.868998,-87.632669,60607
11,Chicago,41.909361,-87.791766,60707
12,Chicago,41.896465,-87.656854,60642
13,Chicago,41.706775,-87.668724,60643
14,Chicago,41.891434,-87.626346,60611
15,Chicago,41.89828,-87.623067,60611
16,Chicago,41.865806,-87.645298,60607
17,Chicago,41.962243,-87.656559,60640
18,Chicago,41.891798,-87.628637,60654
19,Chicago,41.892303,-87.628766,60654
20,Chicago,41.870057,-87.645951,60607
21,Chicago,41.946531,-87.741924,60641
22,Chicago,41.973103,-87.656925,60640
23,Chicago,41.953019,-87.756742,60641
24,Chicago,41.953015,-87.755053,60641
25,Chicago,41.952856,-87.757824,60641
26,Chicago,41.952968,-87.758262,60641
27,Chicago,41.952978,-87.759139,60641
28,Chicago,41.952996,-87.760689,60641
29,Chicago,41.95295,-87.761488,60641
30,Chicago,41.937894,-87.767171,60634
31,Chicago,41.886018,-87.634191,60606
32,Chicago,41.898174,-87.621683,60611
33,Chicago,41.77898,-87.575058,60649
34,Chicago,41.845682,-87.668788,60608
35,Chicago,41.914426,-87.634593,60610
36,Chicago,41.94082,-87.807029,60634
37,Chicago,41.951227,-87.643847,60657
38,Chicago,41.914795,-87.654541,60614
39,Chicago,43.588941,-79.648925,14174
40,Chicago,41.963227,-87.657,60640
41,Chicago,41.869438,-87.624677,60605
42,Chicago,41.911327,-87.635852,60610
43,Chicago,41.891215,-87.615521,60611
44,Chicago,41.892725,-87.619625,60611
45,Chicago,41.860641,-87.610433,60605
46,Chicago,41.914211,-87.700279,60647
47,Chicago,41.868998,-87.632669,60607
48,Chicago,41.909361,-87.791766,60707
49,Chicago,41.896465,-87.656854,60642
50,Chicago,41.706775,-87.668724,60643
51,Chicago,41.891434,-87.626346,60611
52,Chicago,41.89828,-87.623067,60611
53,Chicago,41.865806,-87.645298,60607
54,Chicago,41.962243,-87.656559,60640
55,Chicago,41.891798,-87.628637,60654
56,Chicago,41.892303,-87.628766,60654
57,Chicago,41.870057,-87.645951,60607
58,Chicago,41.946531,-87.741924,60641
59,Chicago,41.973103,-87.656925,60640
60,Chicago,41.953019,-87.756742,60641
61,Chicago,41.953015,-87.755053,60641
62,Chicago,41.952856,-87.757824,60641
63,Chicago,41.952968,-87.758262,60641
64,Chicago,41.952978,-87.759139,60641
65,Chicago,41.952996,-87.760689,60641
66,Chicago,41.95295,-87.761488,60641
67,Chicago,41.937894,-87.767171,60634
68,Chicago,41.886018,-87.634191,60606
69,Chicago,41.898174,-87.621683,60611
70,Chicago,41.77898,-87.575058,60649
71,Chicago,41.845682,-87.668788,60608
72,Chicago,41.914426,-87.634593,60610
73,Chicago,41.94082,-87.807029,60634
74,Denver,39.703671,-104.929036,80246
75,Denver,39.663653,-105.034137,80236
76,Denver,39.640241,-105.06906,80235
77,Denver,39.850024,-104.675359,80249
78,Denver,39.850008,-104.67228,80249
79,Denver,39.743912,-104.982968,80203
80,Denver,39.74219,-104.991825,80202
81,Denver,39.719124,-104.957181,80206
82,Denver,39.849374,-104.675359,80249
83,Denver,39.78579,-104.767821,80249
84,Denver,39.732351,-104.959315,80206
85,Denver,39.691337,-104.935919,80222
86,Denver,39.651258,-104.875355,80014
87,Denver,39.772397,-104.95209,80205
88,Denver,39.759981,-104.917929,80207
89,Denver,39.730955,-104.93434,80220
90,Denver,39.743279,-104.997591,80202
91,Denver,39.768113,-104.863087,80239
92,Denver,39.767952,-104.863795,80239
93,Denver,39.739446,-104.957012,80206
94,Denver,39.689773,-104.923797,80222
95,Denver,39.690988,-104.922777,80222
96,Denver,39.849353,-104.67228,80249
97,Denver,39.687362,-104.906129,80224
98,Denver,39.850122,-104.671001,80249
99,Denver,39.848495,-104.67101,80249
100,Denver,39.849323,-104.671005,80249
101,Denver,39.850139,-104.676733,80249
102,Denver,39.84934,-104.676737,80249
103,Denver,39.848512,-104.676742,80249
104,Denver,39.847534,-104.676775,80249
105,Denver,39.711258,-104.950166,80209
106,Denver,39.743375,-104.991164,80202
107,Denver,39.717681,-104.956175,80206
108,Denver,39.71739,-104.957521,80206
109,Denver,39.67117,-104.938806,80222
110,Denver,39.62728,-104.895099,80237
111,Denver,39.63038,-104.898329,80237
112,Denver,39.65128,-104.892329,80237
113,Denver,39.650768,-104.883631,80237
114,Denver,39.668549,-104.927678,80222
115,Denver,39.668273,-104.927521,80222
116,Denver,39.715226,-104.974634,80209
117,Denver,39.71517,-104.974065,80209
118,Denver,39.715271,-104.974067,80209
119,Denver,39.715068,-104.974294,80209
120,Denver,39.742084,-104.952247,80206
121,Denver,39.741893,-104.953085,80206
122,Denver,39.742082,-104.952035,80206
123,Denver,39.695093,-104.911722,80224
124,Denver,39.694305,-104.910684,80224
125,Denver,39.78478,-104.954917,80216
126,Denver,39.62476,-104.905908,80237
127,Denver,39.624777,-104.908198,80237
128,Denver,39.705225,-104.876367,80247
129,Denver,39.706709,-104.87566,80247
130,Denver,39.70525,-104.875773,80247
131,Denver,39.704322,-104.876992,80247
132,Denver,39.703161,-104.877121,80247
133,Denver,39.703071,-104.876081,80247
134,Denver,39.70119,-104.876915,80247
135,Denver,39.700931,-104.879238,80247
136,Denver,39.702152,-104.879166,80247
137,Denver,39.702579,-104.881186,80247
138,Denver,39.703814,-104.881041,80247
139,Denver,39.703386,-104.88388,80247
140,Denver,39.705092,-104.882796,80247
141,Denver,39.706067,-104.881579,80247
142,Denver,39.706217,-104.879917,80247
143,Denver,39.706578,-104.88321,80247
144,Denver,39.70551,-104.883995,80247
145,Denver,39.706845,-104.882002,80247
146,Denver,39.666108,-104.867204,80231
147,Denver,39.665508,-104.866697,80231
148,Denver,39.664731,-104.867267,80231
149,Denver,39.665801,-104.866698,80231
150,Denver,39.666479,-104.866501,80231
151,Denver,39.666367,-104.866991,80231
152,Denver,39.665162,-104.866694,80231
153,Denver,39.664392,-104.867416,80231
154,Denver,39.665052,-104.867206,80231
155,Denver,39.664446,-104.866718,80231
156,Denver,39.707004,-104.879568,80247
157,Denver,39.706851,-104.878572,80247
158,Denver,39.7074,-104.875904,80247
159,Denver,39.707212,-104.877463,80247
160,Denver,39.748021,-104.994591,80202
