,City,Lat,Lon,Zipcode
0,Chicago,41.697812,-87.621992,60628
1,Chicago,41.864477,-87.667553,60608
2,Chicago,41.911699,-87.671166,60622
3,Chicago,41.834052,-87.650071,60608
4,Chicago,41.785033,-87.665329,60636
5,Chicago,41.911151,-87.784342,60639
6,Chicago,41.843088,-87.713943,60623
7,Chicago,41.845588,-87.715054,60623
8,Chicago,41.771423,-87.621438,60637
9,Chicago,41.897599,-87.765881,60651
10,Chicago,41.907254,-87.75978,60651
11,Chicago,41.896421,-87.753946,60651
12,Chicago,41.867812,-87.770196,60644
13,Chicago,41.938643,-87.694778,60618
14,Chicago,41.757256,-87.603381,60619
15,Chicago,41.878366,-87.7245,60624
16,Chicago,41.864505,-87.72438,60623
17,Chicago,41.884156,-87.684761,60612
18,Chicago,41.831746,-87.681119,60608
19,Chicago,41.711087,-87.640225,60628
20,Chicago,41.818089,-87.612272,60653
21,Chicago,41.724817,-87.623216,60619
22,Chicago,41.796977,-87.764499,60638
23,Chicago,41.772534,-87.670884,60636
24,Chicago,41.852558,-87.696033,60623
25,Chicago,41.828922,-87.667275,60609
26,Chicago,41.840866,-87.726999,60623
27,Chicago,41.878921,-87.688388,60612
28,Chicago,41.739255,-87.645245,60620
29,Chicago,41.790804,-87.67232,60636
30,Chicago,41.688381,-87.613601,60628
31,Chicago,41.903088,-87.664221,60642
32,Chicago,41.822256,-87.61255,60653
33,Chicago,41.819852,-87.622667,60653
34,Chicago,41.858644,-87.652532,60608
35,Chicago,41.874094,-87.702323,60612
36,Chicago,41.736146,-87.552268,60617
37,Chicago,41.813288,-87.693393,60632
38,Chicago,41.704894,-87.625256,60628
39,Chicago,41.8183,-87.694832,60632
40,Chicago,41.889877,-87.766165,60644
41,Chicago,41.789548,-87.778898,60638
42,Chicago,41.796916,-87.660202,60609
43,Chicago,41.829755,-87.67283,60609
44,Chicago,41.781978,-87.671996,60636
45,Chicago,41.870765,-87.699834,60612
46,Chicago,41.784631,-87.70548,60629
47,Chicago,41.944198,-87.746447,60641
48,Chicago,41.946976,-87.781726,60634
