,City,Lat,Lon,Zipcode
0,Chicago,41.998865,-87.763404,60646
1,Chicago,41.976323,-87.837301,60656
2,Chicago,41.926039,-87.6533,60614
3,Chicago,41.883411,-87.625907,60602
4,Chicago,41.877927,-87.627335,60604
5,Chicago,41.966857,-87.658134,60640
6,Chicago,41.894353,-87.626527,60611
7,Chicago,41.944718,-87.654773,60657
8,Chicago,41.943354,-87.678894,60618
9,Chicago,41.926792,-87.664876,60614
10,Chicago,41.939115,-87.668395,60657
11,Chicago,41.956525,-87.651635,60613
12,Chicago,41.949362,-87.649899,60613
13,Chicago,41.950567,-87.643246,60657
14,Chicago,41.938784,-87.698067,60618
15,Chicago,41.939788,-87.652929,60657
16,Chicago,42.018529,-87.673353,60626
17,Chicago,42.019192,-87.67343,60626
18,Chicago,41.921129,-87.663962,60614
19,Chicago,41.921495,-87.663048,60614
20,Chicago,41.924891,-87.66235,60614
21,Chicago,41.92507,-87.66259,60614
22,Chicago,41.924919,-87.66154,60614
23,Chicago,41.924897,-87.661861,60614
24,Chicago,41.925076,-87.660505,60614
25,Chicago,41.925095,-87.659543,60614
26,Chicago,41.925102,-87.659706,60614
27,Chicago,41.925459,-87.656977,60614
28,Chicago,41.934779,-87.668048,60657
29,Chicago,41.936316,-87.669781,60657
30,Chicago,41.936973,-87.664632,60657
31,Chicago,41.937274,-87.665079,60657
32,Chicago,41.93804,-87.666656,60657
33,Chicago,41.939962,-87.658528,60657
34,Chicago,41.937781,-87.663598,60657
35,Chicago,41.795383,-87.588294,60615
36,Chicago,41.975858,-87.711347,60625
37,Chicago,41.977252,-87.769784,60630
38,Chicago,41.947042,-87.702013,60618
39,Chicago,41.883371,-87.633541,60602
40,Chicago,41.948316,-87.64981,60613
41,Chicago,41.948332,-87.643523,60657
42,Chicago,41.948816,-87.643798,60613
43,Chicago,41.949625,-87.646376,60613
44,Chicago,41.94929,-87.648714,60613
45,Chicago,41.977245,-87.910501,60018
46,Chicago,41.978222,-87.910277,60018
47,Chicago,41.9783,-87.910258,60018
48,Chicago,41.979282,-87.910039,60018
49,Chicago,41.979359,-87.910018,60018
50,Chicago,41.979436,-87.910001,60018
51,Chicago,41.978792,-87.910077,60018
52,Chicago,41.958641,-87.788866,60634
53,Chicago,41.922318,-87.697577,60647
54,Chicago,41.875002,-87.628964,60602
55,Chicago,41.874834,-87.627346,60602
56,Chicago,41.872497,-87.627123,60605
57,Chicago,42.01383,-87.680301,60645
58,Chicago,42.012026,-87.682732,60645
59,Chicago,42.013832,-87.679333,60626
60,Chicago,41.88338,-87.638626,60606
61,Chicago,41.923688,-87.698871,60647
62,Chicago,41.915234,-87.687128,60647
63,Chicago,41.961357,-87.675741,60613
64,Chicago,41.96163,-87.675709,60640
65,Chicago,41.880354,-87.628001,60603
66,Chicago,41.881208,-87.628039,60603
67,Chicago,41.881529,-87.628133,60603
68,Chicago,41.882861,-87.628279,60602
69,Chicago,41.881446,-87.628124,60603
70,Chicago,41.881546,-87.627612,60602
71,Chicago,41.880236,-87.628001,60603
72,Chicago,41.882398,-87.626773,60602
73,Chicago,41.905861,-87.642689,60610
74,Chicago,41.983285,-87.660315,60660
75,Chicago,41.965272,-87.675911,60640
76,Chicago,41.885317,-87.618432,60601
77,Chicago,41.910424,-87.694766,60647
78,Chicago,41.90278,-87.691589,60622
79,Chicago,41.90278,-87.694019,60622
80,Chicago,41.916922,-87.687822,60647
81,Chicago,41.902832,-87.689322,60622
82,Chicago,41.876677,-87.634796,60607
83,Chicago,41.878552,-87.633988,60606
84,Chicago,41.866977,-87.641427,60607
85,Chicago,41.865993,-87.640202,60607
86,Chicago,41.876769,-87.647988,60607
87,Chicago,41.876522,-87.648564,60607
88,Chicago,41.872301,-87.627189,60605
89,Chicago,41.872005,-87.627255,60605
90,Chicago,41.885953,-87.628371,60601
